a,b,c,d,e,f,g,h,i,FE
3.00,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,38.79
3.00,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,33.63
8.00,16.00,7.00,0.00,0.00,2.00,2.00,1.00,0.00,17.80
6.20,8.00,6.00,1.00,0.00,1.00,1.00,0.00,0.00,34.35
7.00,8.00,6.00,0.00,0.00,1.00,1.00,0.00,0.00,33.70
8.40,10.00,6.00,0.00,0.00,1.00,1.00,1.00,0.00,30.00
4.50,8.00,7.00,0.00,0.00,2.00,2.00,1.00,0.00,24.35
5.20,10.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,24.00
2.00,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,39.00
3.50,6.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,36.20
5.50,8.00,7.00,1.00,0.00,2.00,1.00,1.00,0.00,30.80
3.70,6.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,35.98
3.70,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,34.90
2.40,4.00,5.00,1.00,0.00,2.00,2.00,1.00,0.00,33.60
2.90,6.00,7.00,0.00,0.00,2.00,2.00,1.00,1.00,41.36
3.40,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,36.73
2.90,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,37.33
2.90,6.00,7.00,0.00,0.00,2.00,2.00,1.00,1.00,41.36
3.40,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,36.73
2.00,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,40.00
2.40,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,36.40
5.90,12.00,6.00,1.00,0.00,2.00,2.00,0.00,0.00,22.93
4.30,8.00,7.00,0.00,0.00,2.00,2.00,1.00,0.00,26.12
5.00,8.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,30.34
5.00,8.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,30.80
3.50,6.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,35.50
1.60,4.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,47.20
1.60,4.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,44.57
1.60,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,47.76
3.80,6.00,5.00,1.00,0.00,2.00,2.00,0.00,1.00,33.20
3.60,6.00,7.00,0.00,0.00,2.00,2.00,1.00,1.00,37.69
3.60,6.00,7.00,0.00,0.00,2.00,2.00,1.00,1.00,36.76
3.60,6.00,7.00,0.00,0.00,2.00,2.00,1.00,1.00,36.44
3.60,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,34.88
3.80,6.00,7.00,0.00,0.00,2.00,2.00,1.00,1.00,36.01
3.80,6.00,7.00,0.00,0.00,2.00,2.00,1.00,1.00,37.08
3.60,6.00,7.00,0.00,0.00,2.00,2.00,1.00,1.00,37.69
3.80,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,35.36
3.80,6.00,7.00,1.00,0.00,2.00,2.00,1.00,1.00,33.85
3.80,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,33.16
3.80,6.00,7.00,1.00,0.00,2.00,2.00,1.00,1.00,33.85
5.90,12.00,6.00,1.00,0.00,2.00,2.00,0.00,0.00,26.62
2.00,4.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,42.58
4.20,8.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,29.30
6.00,12.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,23.27
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,38.17
3.00,6.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,35.27
3.00,6.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,35.46
3.00,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,36.15
4.80,8.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,31.37
4.80,8.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,28.80
4.80,8.00,6.00,1.00,0.00,2.00,2.00,1.00,1.00,31.80
4.00,8.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,27.37
4.00,8.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,27.30
4.00,8.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,27.97
5.00,10.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,23.70
1.60,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,47.90
1.60,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,48.90
4.00,6.00,5.00,1.00,1.00,1.00,1.00,0.00,0.00,32.76
3.70,6.00,7.00,1.00,0.00,2.00,2.00,1.00,1.00,35.16
2.50,6.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,36.70
3.50,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,36.56
4.70,8.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,26.70
5.50,8.00,7.00,1.00,0.00,2.00,2.00,1.00,0.00,31.70
1.60,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,47.76
1.60,4.00,6.00,0.00,0.00,2.00,2.00,1.00,1.00,46.50
3.80,6.00,5.00,1.00,0.00,2.00,2.00,0.00,1.00,33.20
2.50,4.00,1.00,1.00,0.00,2.00,2.00,1.00,0.00,44.74
2.50,4.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,43.80
3.50,6.00,6.00,0.00,0.00,2.00,2.00,1.00,0.00,37.96
3.80,6.00,6.00,1.00,0.00,2.00,2.00,1.00,0.00,29.03
2.20,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,46.80
2.20,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,51.90
2.20,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,51.90
4.60,8.00,5.00,1.00,0.00,2.00,1.00,1.00,0.00,29.14
4.60,8.00,5.00,0.00,0.00,2.00,1.00,1.00,0.00,31.61
2.00,4.00,6.00,0.00,0.00,2.00,2.00,0.00,0.00,41.20
2.00,4.00,5.00,1.00,0.00,2.00,2.00,0.00,0.00,37.50
1.60,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,48.90
2.40,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,38.20
1.80,4.00,4.00,1.00,0.00,2.00,2.00,1.00,0.00,47.20
1.80,4.00,5.00,0.00,0.00,2.00,2.00,1.00,0.00,46.90
